500,442,514,410, 
388,690,496,440, 
462,618,466,608, 
382,752,394,752, 
466,610,462,602, 
284,440,388,690, 
462,602,446,594, 
512,422,514,410, 
394,724,392,722, 
392,722,392,718, 
452,618,462,618, 
282,442,274,422, 
394,752,394,724, 
432,586,414,578, 
384,750,384,726, 
440,612,452,618, 
384,722,384,718, 
384,718,392,718, 
364,578,346,592, 
408,596,426,604, 
382,752,382,724, 
414,578,364,578, 
382,724,394,724, 
384,718,270,446, 
212,234,230,248, 
76,502,76,508, 
14,576,24,560, 
222,266,244,214, 
38,510,204,252, 
74,496,76,502, 
0,566,14,576, 
246,204,252,194, 
6,548,198,248, 
48,516,214,260, 
38,550,46,540, 
44,554,62,536, 
22,520,42,540, 
236,208,244,214, 
204,242,226,258, 
244,214,248,206, 
0,566,10,550, 
12,550,28,524, 
20,558,36,534, 
28,564,222,266, 
84,490,74,492, 
38,550,44,554, 
62,538,64,530, 
62,536,86,490, 
52,546,62,538, 
32,506,54,522, 
224,222,236,230, 
218,228,234,240, 
198,248,236,208, 
236,208,244,202, 
244,202,250,206, 
198,248,222,266, 
6,548,28,564, 
744,104,744,0, 
216,104,216,80, 
656,104,656,80, 
480,104,480,80, 
304,104,304,80, 
568,104,568,80, 
128,104,128,80, 
40,104,40,0, 
392,104,392,80, 
40,104,744,104, 
744,0,40,0, 
532,230,540,226, 
554,264,562,260, 
584,230,710,230, 
598,338,608,332, 
660,440,670,434, 
700,502,710,496, 
638,404,648,398, 
504,188,754,592, 
710,434,710,230, 
718,534,728,528, 
618,370,626,366, 
754,188,504,188, 
576,302,586,296, 
680,470,690,464, 
754,592,754,188, 
710,434,584,230, 
276,426,264,410, 
274,444,266,426, 
266,426,264,410, 
272,446,286,440, 
496,440,510,446, 
390,750,390,726, 
354,606,368,596, 
392,718,510,446, 
368,596,408,596, 
504,442,512,422, 
382,724,384,722, 
